window_start,window_end,total_count,positive_count,positive_rate,baseline_positive_rate,absolute_change,relative_change,label_drift_detected
2019-03-14,2019-05-13,208,7,0.03365384615384615,0.02563580874872838,0.008018037405117771,0.312767094017094,False
2019-03-15,2019-05-14,208,7,0.03365384615384615,0.02563580874872838,0.008018037405117771,0.312767094017094,False
2019-03-16,2019-05-15,208,6,0.028846153846153848,0.02563580874872838,0.003210345097425467,0.12522893772893787,False
2019-03-17,2019-05-16,213,6,0.028169014084507043,0.02563580874872838,0.002533205335778662,0.09881511289962004,False
2019-03-18,2019-05-17,218,6,0.027522935779816515,0.02563580874872838,0.0018871270310881344,0.07361293141109668,False
2019-03-21,2019-05-20,208,7,0.03365384615384615,0.02563580874872838,0.008018037405117771,0.312767094017094,False
2019-03-22,2019-05-21,208,7,0.03365384615384615,0.02563580874872838,0.008018037405117771,0.312767094017094,False
2019-03-23,2019-05-22,208,7,0.03365384615384615,0.02563580874872838,0.008018037405117771,0.312767094017094,False
2019-03-24,2019-05-23,213,7,0.03286384976525822,0.02563580874872838,0.0072280410165298375,0.2819509650495568,False
2019-03-25,2019-05-24,218,7,0.03211009174311927,0.02563580874872838,0.006474282994390887,0.2525484199796128,False
2019-03-28,2019-05-27,204,7,0.03431372549019608,0.02563580874872838,0.0086779167414677,0.33850762527233136,False
2019-03-29,2019-05-28,204,7,0.03431372549019608,0.02563580874872838,0.0086779167414677,0.33850762527233136,False
2019-03-30,2019-05-29,204,7,0.03431372549019608,0.02563580874872838,0.0086779167414677,0.33850762527233136,False
2019-03-31,2019-05-30,209,7,0.03349282296650718,0.02563580874872838,0.007857014217778797,0.30648591174906975,False
2019-04-01,2019-05-31,214,7,0.03271028037383177,0.02563580874872838,0.0070744716251033915,0.27596053997923153,False
2019-04-04,2019-06-03,204,6,0.029411764705882353,0.02563580874872838,0.0037759559571539716,0.14729225023342676,False
2019-04-05,2019-06-04,204,6,0.029411764705882353,0.02563580874872838,0.0037759559571539716,0.14729225023342676,False
2019-04-06,2019-06-05,204,7,0.03431372549019608,0.02563580874872838,0.0086779167414677,0.33850762527233136,False
2019-04-07,2019-06-06,209,7,0.03349282296650718,0.02563580874872838,0.007857014217778797,0.30648591174906975,False
2019-04-08,2019-06-07,214,7,0.03271028037383177,0.02563580874872838,0.0070744716251033915,0.27596053997923153,False
2019-04-11,2019-06-10,204,6,0.029411764705882353,0.02563580874872838,0.0037759559571539716,0.14729225023342676,False
2019-04-12,2019-06-11,204,6,0.029411764705882353,0.02563580874872838,0.0037759559571539716,0.14729225023342676,False
2019-04-13,2019-06-12,204,6,0.029411764705882353,0.02563580874872838,0.0037759559571539716,0.14729225023342676,False
2019-04-14,2019-06-13,209,6,0.028708133971291867,0.02563580874872838,0.0030723252225634858,0.11984506721348837,False
2019-04-15,2019-06-14,214,6,0.028037383177570093,0.02563580874872838,0.002401574428841712,0.0936804628393414,False
2019-04-18,2019-06-17,204,6,0.029411764705882353,0.02563580874872838,0.0037759559571539716,0.14729225023342676,False
2019-04-19,2019-06-18,204,6,0.029411764705882353,0.02563580874872838,0.0037759559571539716,0.14729225023342676,False
2019-04-20,2019-06-19,209,6,0.028708133971291867,0.02563580874872838,0.0030723252225634858,0.11984506721348837,False
2019-04-21,2019-06-20,214,6,0.028037383177570093,0.02563580874872838,0.002401574428841712,0.0936804628393414,False
2019-04-22,2019-06-21,219,6,0.0273972602739726,0.02563580874872838,0.0017614515252442203,0.06871058925853447,False
2019-04-25,2019-06-24,210,6,0.02857142857142857,0.02563580874872838,0.0029356198227001896,0.11451247165532884,False
2019-04-26,2019-06-25,210,5,0.023809523809523808,0.02563580874872838,-0.0018262849392045727,-0.07123960695389266,False
2019-04-27,2019-06-26,210,5,0.023809523809523808,0.02563580874872838,-0.0018262849392045727,-0.07123960695389266,False
2019-04-28,2019-06-27,215,5,0.023255813953488372,0.02563580874872838,-0.002379994795240009,-0.09283868586194163,False
2019-04-29,2019-06-28,220,5,0.022727272727272728,0.02563580874872838,-0.002908536021455653,-0.11345598845598838,False
2019-05-02,2019-07-01,211,4,0.018957345971563982,0.02563580874872838,-0.006678462777164398,-0.26051305198224617,False
2019-05-03,2019-07-02,211,4,0.018957345971563982,0.02563580874872838,-0.006678462777164398,-0.26051305198224617,False
2019-05-04,2019-07-03,211,4,0.018957345971563982,0.02563580874872838,-0.006678462777164398,-0.26051305198224617,False
2019-05-05,2019-07-04,212,4,0.018867924528301886,0.02563580874872838,-0.006767884220426495,-0.2640011979634621,False
