detection_date,event_type,severity,variable,message
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-21 00:00:00 and 2020-05-20 00:00:00: positive rate=0.0048, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-22 00:00:00 and 2020-05-21 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-23 00:00:00 and 2020-05-22 00:00:00: positive rate=0.0046, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-26 00:00:00 and 2020-05-25 00:00:00: positive rate=0.0049, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-27 00:00:00 and 2020-05-26 00:00:00: positive rate=0.0049, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-28 00:00:00 and 2020-05-27 00:00:00: positive rate=0.0049, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-29 00:00:00 and 2020-05-28 00:00:00: positive rate=0.0048, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-03-30 00:00:00 and 2020-05-29 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-04-02 00:00:00 and 2020-06-01 00:00:00: positive rate=0.0049, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-04-03 00:00:00 and 2020-06-02 00:00:00: positive rate=0.0049, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-04-04 00:00:00 and 2020-06-03 00:00:00: positive rate=0.0049, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-04-05 00:00:00 and 2020-06-04 00:00:00: positive rate=0.0048, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-04-06 00:00:00 and 2020-06-05 00:00:00: positive rate=0.0047, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-04-09 00:00:00 and 2020-06-08 00:00:00: positive rate=0.0098, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-04-10 00:00:00 and 2020-06-09 00:00:00: positive rate=0.0098, baseline=0.0256"
2026-06-08 21:47:03,label_drift,warning,label_positive_rate,"Label drift detected between 2020-07-05 00:00:00 and 2020-09-03 00:00:00: positive rate=0.0409, baseline=0.0256"
